Reference,Year,peer review,search,Location,USA,Global Region,Method,"Conventional, Molecular, or Immunologic",MDL/ALOD/LOD,Below MDL,MDL units,Sample Volume,kingdom,class,order,family,genius,Animal common name,Animal Latin Name
Sippy et al.,2012,yes,Google Scholar,"USA, Iowa, centra, farms",yes,North America,"PCR (16S rRNA 816 bp 854 bp variable, mapA 417 bp, tetO 559 bp, cjsa0191 1920 bp, pTet0048 3438 bp, gyrA 219 bp) culture broth and plate",Molecular,NA,NA,,swab variable,,Avian,,,,Barn swallow,Hirundo rustica
Sippy et al.,2012,yes,Google Scholar,"USA, Iowa, centra, farms",yes,North America,"PCR (16S rRNA 816 bp 854 bp variable, mapA 417 bp, tetO 559 bp, cjsa0191 1920 bp, pTet0048 3438 bp, gyrA 219 bp) culture broth and plate",Molecular,NA,NA,,swab variable,,Avian,,,,Black-capped chickadee,Poecile atricapillus
Sippy et al.,2012,yes,Google Scholar,"USA, Iowa, centra, farms",yes,North America,"PCR (16S rRNA 816 bp 854 bp variable, mapA 417 bp, tetO 559 bp, cjsa0191 1920 bp, pTet0048 3438 bp, gyrA 219 bp) culture broth and plate",Molecular,NA,NA,,swab variable,,Avian,,,,Blue jay,Cyanocitta cristata
Sippy et al.,2012,yes,Google Scholar,"USA, Iowa, centra, farms",yes,North America,"PCR (16S rRNA 816 bp 854 bp variable, mapA 417 bp, tetO 559 bp, cjsa0191 1920 bp, pTet0048 3438 bp, gyrA 219 bp) culture broth and plate",Molecular,NA,NA,,swab variable,,Avian,,,,Brown creeper,Certhia Americana
Sippy et al.,2012,yes,Google Scholar,"USA, Iowa, centra, farms",yes,North America,"PCR (16S rRNA 816 bp 854 bp variable, mapA 417 bp, tetO 559 bp, cjsa0191 1920 bp, pTet0048 3438 bp, gyrA 219 bp) culture broth and plate",Molecular,NA,NA,,swab variable,,Mammal,,,,Brown rat,Rattus norvegicus
Sippy et al.,2012,yes,Google Scholar,"USA, Iowa, centra, farms",yes,North America,"PCR (16S rRNA 816 bp 854 bp variable, mapA 417 bp, tetO 559 bp, cjsa0191 1920 bp, pTet0048 3438 bp, gyrA 219 bp) culture broth and plate",Molecular,NA,NA,,swab variable,,Avian,,,,Dark-eyed junco,Junco hyemalis
Sippy et al.,2012,yes,Google Scholar,"USA, Iowa, centra, farms",yes,North America,"PCR (16S rRNA 816 bp 854 bp variable, mapA 417 bp, tetO 559 bp, cjsa0191 1920 bp, pTet0048 3438 bp, gyrA 219 bp) culture broth and plate",Molecular,NA,NA,,swab variable,,Avian,,,,Downy woodpecker,Picoides pubescens
Sippy et al.,2012,yes,Google Scholar,"USA, Iowa, centra, farms",yes,North America,"PCR (16S rRNA 816 bp 854 bp variable, mapA 417 bp, tetO 559 bp, cjsa0191 1920 bp, pTet0048 3438 bp, gyrA 219 bp) culture broth and plate",Molecular,NA,NA,,swab variable,,Mammal,,,,Eastern mole,Scalopus aquaticus
Sippy et al.,2012,yes,Google Scholar,"USA, Iowa, centra, farms",yes,North America,"PCR (16S rRNA 816 bp 854 bp variable, mapA 417 bp, tetO 559 bp, cjsa0191 1920 bp, pTet0048 3438 bp, gyrA 219 bp) culture broth and plate",Molecular,NA,NA,,swab variable,,Avian,,,,European starling,Sturnus vulgaris
Sippy et al.,2012,yes,Google Scholar,"USA, Iowa, centra, farms",yes,North America,"PCR (16S rRNA 816 bp 854 bp variable, mapA 417 bp, tetO 559 bp, cjsa0191 1920 bp, pTet0048 3438 bp, gyrA 219 bp) culture broth and plate",Molecular,NA,NA,,swab variable,,Avian,,,,Grey catbird,Dumetella carolinensis
