"Reference","Year","peer.review","search","Location","USA","Global.Region","Method","Conventional..Molecular..or.Immunologic","MDL.ALOD.LOD","Below.MDL","MDL.units","Sample.Volume","kingdom","class","order","family","genius","Animal.common.name","Animal.Latin.Name","X","Free.captive","Pathogen1"
"Medema",1999,"thesis","review","Netherlands","no","Europe","Microscope","Conventional","1",NA,"oocyst/g","1 g","Animal","Bird","Pelecaniformes","Ardeidae","Ardea","Grey heron","Ardea cinerea","","free","Giardia ssp."
"Medema",1999,"thesis","review","Netherlands","no","Europe","Microscope","Conventional","1",NA,"oocyst/g","1 g","Animal","Bird","Anseriformes","Anatidae","Anser","Greylag goose","Anser anser","","free","Giardia ssp."
"Heitman et al.",2002,"yes","review","Canada, North Saskatchewan River Basin in Alberta","no","North America","microscope, flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp","Conventional",NA,NA,"",NA,NA,"Bird","","Grouse","","","","Grouse (family)","free","Giardia spp."
"Oates et al. ",2012,"yes","Web of Science","USA, Monteray Bay, California","yes","North America","Microscope (Direct immunofluorescent antibody microscopy), separate, centrifuge, PCR (GDHeF, GDHiR, 432 bp, G7, G759, 171 bp)","Conventional","0.2",NA,"oocyst/g","5g",NA,"Bird","","","Gull","","Larus spp.","Gull (family)","free","Giardia"
"Kilonzo et al.",2013,"yes","Web of Science","USA, Central Coast, CA","yes","North America","Microscope, immunofluorescence antibody","Conventional",NA,NA,"","0.025-0.1g/rodent","Animal","Mammal","Rodentia","Heteromyidae","Dipodomys","Heermann's kangaroo rat","Dipodomys heermani","","free","Giardia"
"Kilonzo et al.",2013,"yes","Web of Science","USA, Central Coast, CA","yes","North America","Microscope, immunofluorescence antibody","Conventional",NA,NA,"","0.025-0.1g/rodent",NA,"Mammal","","Heteromyidae","","","Heteromyidae (including  Chaetodipus californicus and Dipodomys heermani)","Heteromyidae (family)","free","Giardia"
"Lohmus et al.",2013,"yes","Google Scholar","Sweden, Uppsala, rural dwellings","no","Europe","immunofluorescence microscopy, Standard Method (methods Sweden National Veterinary Institute)","Conventional",NA,NA,"","1 g","Animal","Mammal","Rodentia","Muridae","Mus","House mouse","Mus musculus","","free","Giardia sp."
"Ebani et al.",2021,"yes","Web of Science","Italy, Central Italy","no","Europe","PCR (GDHeF/GDHiF, 432 bp)","Molecular",NA,NA,"","25 mg","Animal","Bird","Strigiformes","Strigidae","Athene","Little owl","Athene noctua ","","free","Giardia spp."
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g",NA,"Bird","","","Loon","","","Common, Pacific, and red-throated loons ","free","Giardia spp"
"Cox et al.",2005,"yes","Web of Science","Australia, Sydney Watershed","no","Western Pacific"," microscope count","Conventional","3",NA,"","0.5g","Animal","Bird","Anseriformes","Anatidae","Chenonetta","Mained duck","Chenonetta jubata","","free","Giardia"
"Ebani et al.",2021,"yes","Web of Science","Italy, Central Italy","no","Europe","PCR (GDHeF/GDHiF, 432 bp)","Molecular",NA,NA,"","25 mg","Animal","Bird","Anseriformes","Anatidae","Anas","Mallard","Anas platyrhynchos","","free","Giardia spp."
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Anseriformes","Anatidae","Anas","Mallard","","","free","Giardia spp"
"Medema",1999,"thesis","review","Netherlands","no","Europe","Microscope","Conventional","1",NA,"oocyst/g","1 g","Animal","Bird","Anseriformes","Anatidae","Anas","Mallard","Anas platyrhynchos","","free","Giardia ssp."
"Heitman et al.",2002,"yes","review","Canada, North Saskatchewan River Basin in Alberta","no","North America","microscope, flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp","Conventional",NA,NA,"",NA,NA,"Mammal","","","Marten","","","Marten (genus)","free","Giardia spp."
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Columbiformes","Columbidae","Zenaida","Mourning dove","","","free","Giardia spp"
"Heitman et al.",2002,"yes","review","Canada, North Saskatchewan River Basin in Alberta","no","North America","microscope, flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp","Conventional",NA,NA,"",NA,NA,"Mammal","Mouse","","","","","Mouse (order)","free","Giardia spp."
"Kilonzo et al.",2013,"yes","Web of Science","USA, Central Coast, CA","yes","North America","Microscope, immunofluorescence antibody","Conventional",NA,NA,"","0.025-0.1g/rodent",NA,"Mammal","","Muridae","","","Muridae (including Mus musculus and Rattus norvegicus)","Muridae (family)","free","Giardia"
"Medema",1999,"thesis","review","Netherlands","no","Europe","Microscope","Conventional","1",NA,"oocyst/g","1 g","Animal","Bird","Anseriformes","Anatidae","Cygnus","Mute swan","Cygnus olor","","free","Giardia ssp."
"Ebani et al.",2021,"yes","Web of Science","Italy, Central Italy","no","Europe","PCR (GDHeF/GDHiF, 432 bp)","Molecular",NA,NA,"","25 mg","Animal","Bird","Anseriformes","Anatidae","Anas","Northern pintail","Anas acuta","","free","Giardia spp."
"Medema",1999,"thesis","review","Netherlands","no","Europe","Microscope","Conventional","1",NA,"oocyst/g","1 g",NA,"Bird","","","","Northern shoveler","Anas clypeata","","free","Giardia ssp."
"Ebani et al.",2021,"yes","Web of Science","Italy, Central Italy","no","Europe","PCR (GDHeF/GDHiF, 432 bp)","Molecular",NA,NA,"","25 mg",NA,"Bird","","","","Northern shoveler ","Anas clypeata","","free","Giardia spp."
"Ahmed et al. ",2019,"yes","Web of Science","Australia, South East Queensland ","no","Western Pacific","qPCR","Molecular","1000","half MDL","gene copies/g","200 mg",NA,"Mammal","Parrot","","","","","Parrot (order)","free","Giardia lamblia"
