"Reference","Year","peer.review","search","Location","USA","Global.Region","Method","Conventional..Molecular..or.Immunologic","MDL.ALOD.LOD","Below.MDL","MDL.units","Sample.Volume","kingdom","class","order","family","genius","Animal.common.name","Animal.Latin.Name"
"Lowenstein et al.",2020,"yes","Web of Science","Ecuador, Yaruqui, Quito","no","South America","PCR (hippuricase and aspartokinase genes), culture","Molecular",NA,NA,NA,NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat",""
"Medley, S. E.",2019,"thesis","Google Scholar","Botswana, Chobe River","no","Africa","PCR (16S rRNA C412F/C1228R 816 bp)","Molecular",NA,NA,NA,NA,NA,"Mammal","","","","Banded mongooses","Mungos mungo"
"Moore et al.",2002,"yes","review","Northern Ireland, Newcastle, Portavogie, Kikeel, County Down","no","Europe","Microscope, biochemical, culture broth (enrich) and plate","Conventional",NA,NA,NA,"1g",NA,"Avian","","","Gull","","Larus spp."
"Moriarty et al.",2011,"yes","Web of Science","New Zealand, Auckland, Hamilton, Farewell Spit and Christchurch","no","Western Pacific","MPN Culture Test tube, PCR Isolates","Conventional",NA,"35 samples above MDL",NA,"1-25 g","Animal","Bird","Anseriformes","Anatidae","Cygnus","Black swan",""
"Moriarty et al.",2011,"yes","Web of Science","New Zealand, Auckland, Hamilton, Farewell Spit and Christchurch","no","Western Pacific","MPN Culture Test tube, PCR Isolates","Conventional",NA,"35 samples above MDL",NA,"1-25 g","Animal","Bird","Anseriformes","Anatidae","Branta","Canada goose",""
"Moriarty et al.",2011,"yes","Web of Science","New Zealand, Auckland, Hamilton, Farewell Spit and Christchurch","no","Western Pacific","MPN Culture Test tube, PCR Isolates","Conventional",NA,"35 samples above MDL",NA,"1-25 g",NA,"Avian","","Duck","","",""
"Moriarty et al.",2011,"yes","Web of Science","New Zealand, Auckland, Hamilton, Farewell Spit and Christchurch","no","Western Pacific","MPN Culture Test tube, PCR Isolates","Conventional",NA,"35 samples above MDL",NA,"1-25 g",NA,"Avian","","Gull","","",""
"Moser et al.",2001,"yes","review","Germany, 2 Veterninary Hospital","no","Europe","culture plate","Conventional",NA,NA,NA,NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat",""
"Navarro et al.",2019,"yes","Google Scholar","Spain, Marismas de Odiel","no","Europe","PCR","Molecular",NA,NA,NA,"swab variable","Animal","Bird","Charadriiformes","Laridae","Larus","Yellow legged gull","Larus michahellis"
"Obiri-Danso and Jones",1999,"yes","review","UK, England, River Lune","no","Europe","MPN, Biochemcial, Membraine Filtration, Standard Method","Conventional",NA,NA,NA,NA,"Animal","Bird","Anseriformes","Anatidae","Anas","Mallard","Anus plutyrhinrhn"
"Ogden et al.",2009,"yes","Google Scholar","UK, Scotland","no","Europe","microscope, agglutination, culture broth and plate.","Conventional",NA,NA,NA,NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat",""
"Ogden et al.",2009,"yes","Google Scholar","UK, Scotland","no","Europe","microscope, agglutination, culture broth and plate.","Conventional",NA,NA,NA,NA,"Animal","Bird","Columbiformes","Columbidae","Columba","Pigeon",""
"Ogden et al.",2009,"yes","Google Scholar","UK, Scotland","no","Europe","microscope, agglutination, culture broth and plate.","Conventional",NA,NA,NA,NA,"Animal","Bird","Columbiformes","Columbidae","Columba","Pigeon",""
"Ogden et al.",2009,"yes","Google Scholar","UK, Scotland","no","Europe","microscope, agglutination, culture broth and plate.","Conventional",NA,NA,NA,NA,"Animal","Bird","Columbiformes","Columbidae","Columba","Pigeon",""
"Ogden et al.",2009,"yes","Google Scholar","UK, Scotland","no","Europe","microscope, agglutination, culture broth and plate.","Conventional",NA,NA,NA,NA,"Animal","Bird","Columbiformes","Columbidae","Columba","Pigeon",""
"Ogden et al.",2009,"yes","Google Scholar","UK, Scotland","no","Europe","microscope, agglutination, culture broth and plate.","Conventional",NA,NA,NA,NA,"Animal","Bird","Columbiformes","Columbidae","Columba","Pigeon",""
