"Conventional, Molecular, or Immunologic",MDL/ALOD/LOD,Below MDL,MDL units,Sample Volume,kingdom,class,order,family,genius,Animal common name,Animal Latin Name,,Free/captive,Pathogen name original,Pathogen rename,Pathogen,medium,Presence,Enumerated,Enum Stats,Censored Data,Presence/Absence,Total,percent,Individual Sample,Mean,Geometric mean,Standard deviation,Median,Min,Max,95% low,95% high,units,Notes,Notes,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD
Immunologic,NA,NA,,swab,Animal,Bird,,,,,"Gavia stellata, Gavia pacifica, Puffinus griseus, Phalacrocorax penicillatus, Mergus serrator","Gavidae, Procellaridae, Phalacrocoracidae, and Anatidae (Red-throated loon 1, Pacific loon 1, Sooty shearwater 1, Brandt?s cormorant 2, Red-breasted merganser 1)",free,Salmonella newport,Salmonella enterica subsp. enterica serovar Newport,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,ND,6,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,,,Bird (class),free,Salmonella ,Salmonella,Salmonella,"intestines content, tissue (liver, lung, lesions), dead bird",yes,no,,,9,1573,,,,,,,,,,,,,,,,,,,,,
Conventional,ND,ND,,5 fecal swab composite,Animal,Bird,,,,,,Bird (class),free,Salmonella,Salmonella,Salmonella,feces (5 sample composite),yes,no,,,17,395,,,,,,,,,,,,composite samples.,"has more data on bird sightings, locations, servars",,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,Black- bellied whistling duck ,Dendrocygna autumnalis,,free,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,ND,17,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Insect,,,,Black blow fly,Calliphoridae Phormia regina,,free,Salmonella,Salmonella,Salmonella,flies ,yes,no,,,ND,697,,,4.9,,,,1,14,,,flies/pool,697,fly,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Black grouse,Tetrao tetrix,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Black headed gull,,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab, feces",yes,no,,,ND,13,,,,,,,,,,,,Adult,,,,,,,,,
Immunologic,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Black headed gull,,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab, feces",yes,no,,,5,17,,,,,,,,,,,,Adult," (typhimurium, agona, isangi, enteritidis, thompson)",,,,,,,,
Immunologic,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Black headed gull,,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab, feces",yes,no,,,57,377,,,,,,,,,,,,Young,". (typhimurium, derby, agona, enteritidis, berta, hadar, monevideo, infantis abony)",,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Black headed gull,,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab, feces",yes,no,,,ND,14,,,,,,,,,,,,Adult,,,,,,,,,
