Reference,Year,peer review,search,Location,USA,Global Region,Method,"Conventional, Molecular, or Immunologic",MDL/ALOD/LOD,Below MDL,MDL units,Sample Volume,kingdom,class,order,family,genius,Animal common name,Animal Latin Name,,Free/captive,Pathogen1
Kilonzo et al.,2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"Microscope, immunofluorescence antibody",Conventional,NA,NA,,0.025-0.1g/rodent,,Mammal,,Cricetidae,,,"Cricetidae (including  Peromyscus boylii, Peromyscus manicultus, Reithrodontomys megalotis, Microtus californicus, Peromyscus californicus, and Neotoma fuscipes)",,free,Giardia
Kilonzo et al.,2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"Microscope, immunofluorescence antibody",Conventional,NA,NA,,0.025-0.1g/rodent,,Mammal,,,,Deer mouse,Peromyscus manicultus,,free,Giardia
Kilonzo et al.,2017,yes,Google Scholar,"USA, California, Monterey and San Benito County",yes,North America,"Microscope, Direct Immunofluorescent",Conventional,NA,NA,,proportional to weigh of feces pellet,,Mammal,,,,Deer mouse,Peromyscus manicultus,,free,Giardia spp.
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,Duck,,,,Scaup and scoter ,free,Giardia spp
Ebani et al.,2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (GDHeF/GDHiF, 432 bp)",Molecular,NA,NA,,25 mg,,Bird,,,,Eurasian coot,Fulica atra,,free,Giardia spp.
Medema,1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,,Bird,,,,Eurasian oystercatcher,Haematopus ostralegus,,free,Giardia ssp.
Ebani et al.,2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (GDHeF/GDHiF, 432 bp)",Molecular,NA,NA,,25 mg,,Bird,,,,Eurasian sparrowhawk,Accipiter nisus,,free,Giardia spp.
Ebani et al.,2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (GDHeF/GDHiF, 432 bp)",Molecular,NA,NA,,25 mg,,Bird,,,,Eurasian teal,Anas crecca,,free,Giardia spp.
Ebani et al.,2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (GDHeF/GDHiF, 432 bp)",Molecular,NA,NA,,25 mg,,Bird,,,,Eurasian wigeon,Anas penelope,,free,Giardia spp.
Medema,1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,,Bird,,,,Eurasian wigeon,Anas penelope,,free,Giardia ssp.
Heitman et al.,2002,yes,review,"Canada, North Saskatchewan River Basin in Alberta",no,North America,"microscope, flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp",Conventional,NA,NA,,NA,,Mammal,,,,Fisher,,,free,Giardia spp.
Ahmed et al. ,2019,yes,Web of Science,"Australia, South East Queensland ",no,Western Pacific,qPCR,Molecular,1000,half MDL,gene copies/g,200 mg,,Mammal,,,Flying fox,,,Flying fox (genus),free,Giardia lamblia
Medema,1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,,Bird,,,,Gadwall,Anas strepera,,free,Giardia ssp.
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,,,Glaucous-winged gull,,,free,Giardia spp
Rzymski et al.,2017,yes,Google Scholar,"Poland, Lake Chrzypsko",no,Europe,Microscope,Conventional,NA,NA,,NA,,Bird,,,,Great cormorant,Phalacrocorax carbo,,free,Giardia
Medema,1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,,Bird,,,,Great cormorant,Phalacrocorax carbo,,free,Giardia ssp.
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,,,Great horned owl,,,free,Giardia spp
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,Grebe,,,,,Grebe (order),free,Giardia spp
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,,,Green heron,,,free,Giardia spp
Ebani et al.,2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (GDHeF/GDHiF, 432 bp)",Molecular,NA,NA,,25 mg,,Bird,,,,Grey heron,Ardea cinerea,,free,Giardia spp.
Medema,1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,,Bird,,,,Grey heron,Ardea cinerea,,free,Giardia ssp.
Medema,1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,,Bird,,,,Greylag goose,Anser anser,,free,Giardia ssp.
Heitman et al.,2002,yes,review,"Canada, North Saskatchewan River Basin in Alberta",no,North America,"microscope, flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp",Conventional,NA,NA,,NA,,Bird,,Grouse,,,,Grouse (family),free,Giardia spp.
Oates et al. ,2012,yes,Web of Science,"USA, Monteray Bay, California",yes,North America,"Microscope (Direct immunofluorescent antibody microscopy), separate, centrifuge, PCR (GDHeF, GDHiR, 432 bp, G7, G759, 171 bp)",Conventional,0.2,NA,oocyst/g,5g,,Bird,,,Gull,,Larus spp.,Gull (family),free,Giardia
Kilonzo et al.,2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"Microscope, immunofluorescence antibody",Conventional,NA,NA,,0.025-0.1g/rodent,,Mammal,,,,Heermann's kangaroo rat,Dipodomys heermani,,free,Giardia
Kilonzo et al.,2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"Microscope, immunofluorescence antibody",Conventional,NA,NA,,0.025-0.1g/rodent,,Mammal,,Heteromyidae,,,Heteromyidae (including  Chaetodipus californicus and Dipodomys heermani),Heteromyidae (family),free,Giardia
Lohmus et al.,2013,yes,Google Scholar,"Sweden, Uppsala, rural dwellings",no,Europe,"immunofluorescence microscopy, Standard Method (methods Sweden National Veterinary Institute)",Conventional,NA,NA,,1 g,,Mammal,,,,House mouse,Mus musculus,,free,Giardia sp.
Ebani et al.,2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (GDHeF/GDHiF, 432 bp)",Molecular,NA,NA,,25 mg,,Bird,,,,Little owl,Athene noctua ,,free,Giardia spp.
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,,Loon,,,"Common, Pacific, and red-throated loons ",free,Giardia spp
Cox et al.,2005,yes,Web of Science,"Australia, Sydney Watershed",no,Western Pacific, microscope count,Conventional,3,NA,,0.5g,,Bird,,,,Mained duck,Chenonetta jubata,,free,Giardia
Ebani et al.,2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (GDHeF/GDHiF, 432 bp)",Molecular,NA,NA,,25 mg,,Bird,,,,Mallard,Anas platyrhynchos,,free,Giardia spp.
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,,,Mallard,,,free,Giardia spp
Medema,1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,,Bird,,,,Mallard,Anas platyrhynchos,,free,Giardia ssp.
Heitman et al.,2002,yes,review,"Canada, North Saskatchewan River Basin in Alberta",no,North America,"microscope, flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp",Conventional,NA,NA,,NA,,Mammal,,,Marten,,,Marten (genus),free,Giardia spp.
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,,,Mourning dove,,,free,Giardia spp
Heitman et al.,2002,yes,review,"Canada, North Saskatchewan River Basin in Alberta",no,North America,"microscope, flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp",Conventional,NA,NA,,NA,,Mammal,Mouse,,,,,Mouse (order),free,Giardia spp.
